#---------------------------------------------------
#    PALLAS MPI Benchmark Suite V2.2, MPI-1 part    
#---------------------------------------------------
# Date       : Sun Jun 30 12:15:58 2002
# Machine    : i686
# System     : Linux
# Release    : 2.4.4-bigphys
# Version    : #2 SMP Mon Jan 28 11:25:16 MET 2002

#
# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong
# PingPing
# Sendrecv
# Exchange
# Allreduce
# Reduce
# Scan
# Reduce_scatter
# Scatter
# Gather
# Allgather
# Allgatherv
# Alltoall
# Bcast
# Barrier

#---------------------------------------------------
# Benchmarking PingPong 
# ( #processes = 2 ) 
# ( 6 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         8.80         0.00
            1         1000         9.62         0.10
            2         1000         9.67         0.20
            4         1000         9.77         0.39
            5         1000         9.97         0.48
            6         1000         9.98         0.57
            7         1000        10.08         0.66
            8         1000        10.12         0.75
           10         1000        10.35         0.92
           12         1000        10.41         1.10
           14         1000        10.49         1.27
           16         1000        10.32         1.48
           20         1000        10.71         1.78
           24         1000        10.68         2.14
           28         1000        10.96         2.44
           32         1000        10.93         2.79
           40         1000        11.11         3.43
           48         1000        11.37         4.03
           56         1000        11.70         4.57
           64         1000        11.95         5.11
           80         1000        12.44         6.13
           96         1000        12.91         7.09
          112         1000        28.31         3.77
          128         1000        26.29         4.64
          160         1000        27.39         5.57
          192         1000        27.57         6.64
          224         1000        27.76         7.70
          256         1000        27.54         8.87
          320         1000        28.89        10.56
          384         1000        28.86        12.69
          448         1000        30.25        14.13
          512         1000        30.15        16.19
          640         1000        31.44        19.41
          768         1000        32.74        22.37
          896         1000        33.89        25.21
         1024         1000        35.34        27.64
         1280         1000        37.86        32.25
         1536         1000        40.42        36.24
         1792         1000        42.85        39.88
         2048         1000        45.46        42.97
         2560         1000        50.75        48.11
         3072         1000        55.69        52.60
         3584         1000        60.76        56.25
         4096         1000        65.63        59.52
         5120         1000        75.84        64.38
         6144         1000        86.20        67.97
         7168         1000        96.29        70.99
         8192         1000       106.54        73.33
        10240         1000       126.76        77.04
        12288         1000       146.72        79.87
        14336         1000       166.63        82.05
        16384         1000       186.77        83.66
        20480         1000       259.89        75.15
        24576         1000       301.56        77.72
        28672         1000       324.13        84.36
        32768         1000       344.86        90.62
        40960         1000       391.28        99.83
        49152          853       483.47        96.95
        57344          731       543.83       100.56
        65536          640       606.43       103.06
        81920          512       782.01        99.90
        98304          426       989.66        94.73
       114688          365      1147.38        95.33
       131072          320      1334.73        93.65
       163840          256      1628.76        95.93
       196608          213      1965.52        95.39
       229376          182      2223.65        98.37
       262144          160      2463.82       101.47
       327680          128      3124.84       100.01
       393216          106      3637.27       103.10
       458752           91      4116.05       106.29
       524288           80      4617.85       108.28
       655360           64      5737.51       108.93
       786432           53      6684.52       112.20
       917504           45      7822.60       111.86
      1048576           40      8777.44       113.93
      1310720           32     10857.00       115.13
      1572864           26     12928.08       116.03
      1835008           22     14999.98       116.67
      2097152           20     17052.14       117.29
      2621440           16     21030.15       118.88
      3145728           13     25228.70       118.91
      3670016           11     29386.66       119.10
      4194304           10     33476.85       119.49

#---------------------------------------------------
# Benchmarking PingPing 
# ( #processes = 2 ) 
# ( 6 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000        14.84         0.00
            1         1000        15.83         0.06
            2         1000        15.90         0.12
            4         1000        15.93         0.24
            5         1000        16.19         0.29
            6         1000        16.08         0.36
            7         1000        16.18         0.41
            8         1000        16.11         0.47
           10         1000        16.45         0.58
           12         1000        16.40         0.70
           14         1000        16.57         0.81
           16         1000        16.34         0.93
           20         1000        16.78         1.14
           24         1000        16.64         1.38
           28         1000        17.04         1.57
           32         1000        17.02         1.79
           40         1000        17.32         2.20
           48         1000        17.43         2.63
           56         1000        17.72         3.01
           64         1000        17.98         3.40
