	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:46 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino3.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  290890  718114  1392258  2772930 1734015  752329 1780008  852702 2203800   310399   743988 1421755  2662899
              64       8  290890 1029254  1690338  3541098 2561267  942521 2561267  955947 2133730   318502   844652 1648808  3363612
              64      16  295047 1101022  1768283  4274062 3541098  926260 3203069  780776 3363612   420873  1017549 1780008  4018152
              64      32  306151 1168097  1638743  4207076 3958892 1143223 3406295  555990 1562436   503814  1879725 3203069  4018152
              64      64  328238 1124074  1310683  3588436 3363612  863676 3203069  320021 1143223   293755  1143223 3057153  3363612
             128       4  308403  971174  1579934  2727923 1997245  824932 2035099 1121270 1911894   300464   730629 1508887  2558895
             128       8  328199 1067750  1663139  3445772 2784517  895074 2714132 1217930 3359523   318465   841746 1755594  3277486
             128      16  345965 1155043  1755594  3867787 3380677 1085013 3277486 1102844 4557257   341345   902598 1858934  3895854
             128      32  311264 1142750  1755594  4012317 3445772  927549 3359523  870405 4135958   400110  1022989 1852520  3657016
             128      64  339618 1102844  1579934  3277486 3199360 1067750 3124872  504196 1579934   542400  1802755 1436229  3124872
             128     128  306292 1111981  1294270  2843510 2985839  831319 2905056  318465 1162547   307696  1152564 1185654  2969325
             256       4  290529  944525  1422540  2588541 1871263  766517 1924938 1148625 1570244   301206   725106 1463250  2325094
             256       8  302223 1112909  1683493  3326279 2639446  921029 2665657 1339154 2588541   314161   826078 1740810  3123106
             256      16  333273 1158540  1826695  3368013 3245838  977189 3123106 1274008 4422226   369516   891956 1842366  3557725
             256      32  310706 1178892  1842366  3756894 3499745 1123389 3421677 1080434 2943325   345054  1147398 1740810  3756894
             256      64  302564 1143731  1683493  3197509 3123106  958864 2975955  757326 2049885   396243  1306564 1660068  3087188
             256     128  300447 1123389  1523457  2975955 2872459 1027695 2849590  511840 2639446   477684  1325925 1649865  3087188
             256     256  300531 1126926  1280084  3123106 3052087  834424 2943325  316849 1168627   308829  1143731 1202660  3123106
             512       4  288415  917412  1380303  2486072 1815584  792486 1783912 1078159 1700565   296130   738777 1458090  2235086
             512       8  297525 1060063  1689859  3304808 2572435  907717 2521095 1145443 2449212   303111   803757 1700565  3012719
             512      16  303325 1105920  1842059  2584820 3158966  994294 2768068 1358474 2926501   324648  1028091 1791352  3220553
             512      32  302982 1125630  1882427  3604335 3415178  996139 3068685 1257451 3201349   324060  1055375 1854787  3437042
             512      64  304012 1111070  1783912  3008498 2991733 1077618 2826358 1005467 2474613   341097  1082507 1736314  2979282
             512     128  305308 1036527  1672748  2681653 2695115  970041 2413429  774480 2906696   382059   997991 1683237  2665014
             512     256  305308  999850  1520013  2678309 2875558 1091863 2297251  515626 1657257   438727  1289156 1418599  2651850
             512     512  301705  879825  1279935  2107844 2047551  847532 1667552  307715 1293037   312779   881269 1213400  2047551
            1024       4  283499  745808  1389594  1857840 1715375  784067 1402756 1144163 1391395   289344   718605 1436056  1701108
            1024       8  305131  821090  1672621  2008114 2271501  945651 1703807 1497127 1910737   308994   796277 1687075  1942715
            1024      16  306678  862650  1727102  2333199 2619192 1024854 1885572 1506051 2225595   313345   825827 1796451  2192645
            1024      32  308617  878351  1838751  2348509 2968586 1053512 2103514 1422266 1848247   317210   859198 1800216  2210703
            1024      64  313803  899883  1774922  2169388 2461573 1027060 2024203 1223356 3046495   328290   861266 1806273  2124322
            1024     128  311437  873883  1735476  2073055 2553783 1142945 1889720 1048113 2455943   376065   888894 1659694  2048338
            1024     256  339420  860575  1643814  1980337 2210703 1008964 1741810  843340 2128533   348538   882865 1558516  1999700
            1024     512  326320  757382  1309518  1523683 1641301  924283 1383774  467158 1378002   429719  1032244 1380217  1473500
            1024    1024  285801  711110  1190795  1189146 1196101  731954 1203137  291900 1223356   292895   708178 1203474  1210598
            2048       4  289752  711098  1456709  1531781 1463909  825097 1223322 1247122 1213300   291739   680347 1417292  1455722
            2048       8  301403  777242  1677457  1743156 1848567  953398 1456709 1534244 1458688   299323   733004 1645012  1715309
            2048      16  310164  825177  1788896  1863404 2126850 1076863 1609866 1582579 1666393   309828   767657 1777789  1833573
            2048      32  307609  828200  1836709  1916196 2273187 1084614 1801275 1542232 1946592   315078   787359 1826943  1906837
            2048      64  308759  820840  1776319  1854954 2078978 1047577 1718053 1383954 1891303   314536   792589 1784066  1844994
            2048     128  309884  818571  1631886  1863404 2087567 1005399 1715309 1272808 2646472   318963   798409 1720807  1854954
            2048     256  308848  813995  1723915  1846580 2033695 1023000 1759581 1062741 2513289   311434   752657 1712231  1863404
            2048     512  296288  741226  1367213  1458688 1447382  818571 1379287  620399 1502575   323650   717813 1373553  1407538
            2048    1024  287762  700886  1142916  1150570 1156456  769651 1149338  416768 1155834   408950   908237 1153815  1155834
            2048    2048  281316  692859  1135963  1149800 1145354  740460 1144133  288739 1141700   288651   691409 1134613  1149338
            4096       4  283305  704762  1435626  1495487 1302412  761221 1202583 1136174 1218360   280314   668066 1408093  1468138
