set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.658337	0.00000000
0	1	1	32	10.499954	3.04763233
0	1	1	64	10.650158	6.00930056
0	1	1	96	11.529922	8.32616179
0	1	1	128	13.489723	9.48870470
0	1	1	160	13.790131	11.60250069
0	1	1	192	14.519691	13.22342148
0	1	1	224	14.781952	15.15361445
0	1	1	256	15.430450	16.59057206
0	1	1	288	15.659332	18.39158879
0	1	1	320	16.479492	19.41807407
0	1	1	352	16.729832	21.04025948
0	1	1	384	17.271042	22.23374843
0	1	1	416	17.650127	23.56923496
0	1	1	448	18.348694	24.41590686
0	1	1	480	18.630028	25.76485692
0	1	1	512	19.290447	26.54163451
0	1	1	544	19.459724	27.95517491
0	1	1	576	20.279884	28.40252885
0	1	1	608	20.549297	29.58738638
0	1	1	640	21.221638	30.15789866
0	1	1	672	21.438599	31.34533238
0	1	1	704	22.189617	31.72655008
0	1	1	736	22.509098	32.69788946
0	1	1	768	23.128986	33.20508682
0	1	1	800	23.400784	34.18688945
0	1	1	832	24.139881	34.46578694
0	1	1	864	24.471283	35.30668995
0	1	1	896	25.098324	35.69959517
0	1	1	928	25.451183	36.46195889
0	1	1	960	26.109219	36.76862241
0	1	1	992	26.450157	37.50450305
0	1	1	1024	27.029514	37.88451350
# Model complexity is (1.076584e-05 + n * 1.610227e-08)
# startup = 10.77 usec and transfer rate = 62.10 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.765836+0.016102*x'
join dots
wait
new page
