set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.369850	0.00000000
0	1	1	32	10.280609	3.11265603
0	1	1	64	10.299683	6.21378370
0	1	1	96	11.219978	8.55616626
0	1	1	128	12.750626	10.03872311
0	1	1	160	12.989044	12.31807342
0	1	1	192	13.749599	13.96404314
0	1	1	224	14.059544	15.93223836
0	1	1	256	15.258789	16.77721600
0	1	1	288	15.439987	18.65286523
0	1	1	320	16.119480	19.85175684
0	1	1	352	16.441345	21.40944037
0	1	1	384	17.130375	22.41632200
0	1	1	416	17.378330	23.93785792
0	1	1	448	18.019676	24.86171199
0	1	1	480	18.339157	26.17350390
0	1	1	512	18.889904	27.10442570
0	1	1	544	19.268990	28.23189032
0	1	1	576	19.788742	29.10745908
0	1	1	608	20.170212	30.14346137
0	1	1	640	20.627975	31.02582709
0	1	1	672	20.980835	32.02923055
0	1	1	704	21.729469	32.39839824
0	1	1	736	22.051334	33.37666498
0	1	1	768	22.709370	33.81864013
0	1	1	800	23.038387	34.72465280
0	1	1	832	23.601055	35.25266116
0	1	1	864	23.889542	36.16645365
0	1	1	896	24.528503	36.52893064
0	1	1	928	24.850368	37.34351062
0	1	1	960	25.391579	37.80781070
0	1	1	992	25.680065	38.62918548
0	1	1	1024	26.378632	38.81929949
# Model complexity is (1.042317e-05 + n * 1.588876e-08)
# startup = 10.42 usec and transfer rate = 62.94 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.423167+0.015889*x'
join dots
wait
new page
