Collectives, size=16, LOCAL MEM block=4194304

Barrier
=======
4.33 & 4.34 & 4.34  \\
Bcast
=====
4 & 5.83 & 18.42 & 27.84  \\
8 & 2.60 & 12.19 & 19.70  \\
16 & 2.61 & 12.08 & 19.65  \\
32 & 2.58 & 11.81 & 19.47  \\
64 & 2.58 & 12.11 & 19.48  \\
128 & 2.59 & 11.12 & 15.52  \\
256 & 2.58 & 11.80 & 19.45  \\
512 & 2.58 & 12.07 & 19.45  \\
1024 & 2.60 & 12.25 & 19.67  \\
2048 & 2.61 & 36.82 & 55.52  \\
4096 & 2.73 & 36.59 & 55.70  \\
8192 & 2.87 & 37.21 & 56.14  \\
16384 & 4.00 & 41.00 & 60.72  \\
32768 & 4.44 & 42.97 & 65.04  \\
65536 & 11.75 & 51.99 & 85.66  \\
131072 & 16.50 & 64.60 & 105.56  \\
262144 & 25.00 & 80.11 & 118.85  \\
524288 & 41.95 & 118.52 & 167.00  \\
1048576 & 77.04 & 198.47 & 261.89  \\
2097152 & 242.06 & 368.63 & 436.10  \\
4194304 & 600.22 & 725.41 & 791.10  \\
Reduce
======
4 & 4.19 & 8.02 & 21.20  \\
8 & 2.94 & 6.37 & 18.34  \\
16 & 2.95 & 6.39 & 19.50  \\
32 & 2.95 & 6.53 & 20.13  \\
64 & 2.96 & 6.31 & 18.02  \\
128 & 2.94 & 6.37 & 18.62  \\
256 & 2.97 & 6.31 & 19.82  \\
512 & 2.94 & 6.56 & 20.38  \\
1024 & 2.95 & 6.45 & 18.68  \\
2048 & 2.99 & 13.01 & 56.16  \\
4096 & 3.01 & 13.71 & 56.91  \\
8192 & 3.15 & 14.58 & 60.30  \\
16384 & 11.39 & 42.74 & 81.76  \\
32768 & 12.14 & 44.10 & 84.75  \\
65536 & 24.66 & 62.22 & 109.56  \\
131072 & 30.96 & 77.66 & 138.72  \\
262144 & 45.36 & 96.22 & 165.75  \\
524288 & 72.76 & 146.15 & 248.70  \\
1048576 & 126.90 & 245.52 & 410.01  \\
2097152 & 328.16 & 690.82 & 979.41  \\
4194304 & 1215.94 & 1577.13 & 1864.80  \\

